"Simulation step","vehicle id","vehicle color","vehicle speed","vehicle is on edge","edge congestion status","edge average speed","edge density"
"28.0","1768309958763_0_0","RED","95.40","-E23","false","85.66","18.17"
"28.0","1768309958763_1_1","BLACK","84.45","-E23","false","85.66","18.17"
"28.0","1768309958763_9_9","WHITE","77.12","-E23","false","85.66","18.17"
"29.0","1768309958763_0_0","RED","91.59","-E23","false","80.19","36.35"
"29.0","1768309958763_1_1","BLACK","80.77","-E23","false","80.19","36.35"
"29.0","1768309958763_2_2","RED","87.09","-E23","false","80.19","36.35"
"29.0","1768309958763_3_3","WHITE","75.37","-E23","false","80.19","36.35"
"29.0","1768309958763_9_19","BLUE","70.45","-E23","false","80.19","36.35"
"29.0","1768309958763_9_9","WHITE","75.85","-E23","false","80.19","36.35"
"30.0","1768309958763_0_0","RED","91.09","-E23","false","75.92","54.52"
"30.0","1768309958763_1_1","BLACK","83.64","-E23","false","75.92","54.52"
"30.0","1768309958763_1_11","BLUE","66.42","-E23","false","75.92","54.52"
"30.0","1768309958763_2_2","RED","85.08","-E23","false","75.92","54.52"
"30.0","1768309958763_3_3","WHITE","71.82","-E23","false","75.92","54.52"
"30.0","1768309958763_4_4","WHITE","80.50","-E23","false","75.92","54.52"
"30.0","1768309958763_9_19","BLUE","68.12","-E23","false","75.92","54.52"
"30.0","1768309958763_9_29","BLUE","62.19","-E23","false","75.92","54.52"
"30.0","1768309958763_9_9","WHITE","74.47","-E23","false","75.92","54.52"
"31.0","1768309958763_0_0","RED","91.67","-E23","false","71.13","72.70"
"31.0","1768309958763_1_1","BLACK","83.18","-E23","false","71.13","72.70"
"31.0","1768309958763_1_11","BLUE","64.78","-E23","false","71.13","72.70"
"31.0","1768309958763_2_2","RED","74.47","-E23","false","71.13","72.70"
"31.0","1768309958763_3_13","BLACK","58.03","-E23","false","71.13","72.70"
"31.0","1768309958763_3_3","WHITE","79.16","-E23","false","71.13","72.70"
"31.0","1768309958763_4_4","WHITE","77.41","-E23","false","71.13","72.70"
"31.0","1768309958763_5_5","BLUE","72.01","-E23","false","71.13","72.70"
"31.0","1768309958763_9_19","BLUE","66.83","-E23","false","71.13","72.70"
"31.0","1768309958763_9_29","BLUE","57.87","-E23","false","71.13","72.70"
"31.0","1768309958763_9_39","RED","51.12","-E23","false","71.13","72.70"
"31.0","1768309958763_9_9","WHITE","77.08","-E23","false","71.13","72.70"
"32.0","1768309958763_0_0","RED","89.62","-E23","false","66.38","90.87"
"32.0","1768309958763_1_1","BLACK","80.70","-E23","false","66.38","90.87"
"32.0","1768309958763_1_11","BLUE","69.54","-E23","false","66.38","90.87"
"32.0","1768309958763_1_21","BLACK","50.04","-E23","false","66.38","90.87"
"32.0","1768309958763_2_2","RED","77.08","-E23","false","66.38","90.87"
"32.0","1768309958763_3_13","BLACK","56.80","-E23","false","66.38","90.87"
"32.0","1768309958763_3_3","WHITE","77.70","-E23","false","66.38","90.87"
"32.0","1768309958763_4_4","WHITE","66.83","-E23","false","66.38","90.87"
"32.0","1768309958763_5_5","BLUE","69.58","-E23","false","66.38","90.87"
"32.0","1768309958763_6_6","BLACK","64.03","-E23","false","66.38","90.87"
"32.0","1768309958763_9_19","BLUE","73.04","-E23","false","66.38","90.87"
"32.0","1768309958763_9_29","BLUE","61.55","-E23","false","66.38","90.87"
"32.0","1768309958763_9_39","RED","47.65","-E23","false","66.38","90.87"
"32.0","1768309958763_9_49","RED","38.64","-E23","false","66.38","90.87"
"32.0","1768309958763_9_9","WHITE","72.81","-E23","false","66.38","90.87"
"33.0","1768309958763_0_0","RED","73.66","-E23","false","60.76","109.04"
"33.0","1768309958763_1_1","BLACK","78.50","-E23","false","60.76","109.04"
"33.0","1768309958763_1_11","BLUE","71.39","-E23","false","60.76","109.04"
"33.0","1768309958763_1_21","BLACK","47.77","-E23","false","60.76","109.04"
"33.0","1768309958763_2_2","RED","65.56","-E23","false","60.76","109.04"
"33.0","1768309958763_3_13","BLACK","61.41","-E23","false","60.76","109.04"
"33.0","1768309958763_3_23","RED","38.77","-E23","false","60.76","109.04"
"33.0","1768309958763_3_3","WHITE","78.62","-E23","false","60.76","109.04"
"33.0","1768309958763_4_4","WHITE","74.26","-E23","false","60.76","109.04"
"33.0","1768309958763_5_5","BLUE","61.26","-E23","false","60.76","109.04"
"33.0","1768309958763_6_6","BLACK","61.13","-E23","false","60.76","109.04"
"33.0","1768309958763_7_7","BLUE","54.38","-E23","false","60.76","109.04"
"33.0","1768309958763_9_19","BLUE","70.47","-E23","false","60.76","109.04"
"33.0","1768309958763_9_29","BLUE","68.49","-E23","false","60.76","109.04"
"33.0","1768309958763_9_39","RED","56.19","-E23","false","60.76","109.04"
"33.0","1768309958763_9_49","RED","35.60","-E23","false","60.76","109.04"
"33.0","1768309958763_9_59","WHITE","23.69","-E23","false","60.76","109.04"
"33.0","1768309958763_9_9","WHITE","72.49","-E23","false","60.76","109.04"
"34.0","1768309958763_0_0","RED","57.46","-E23","false","56.44","121.16"
"34.0","1768309958763_1_1","BLACK","63.53","-E23","false","56.44","121.16"
"34.0","1768309958763_1_11","BLUE","77.19","-E23","false","56.44","121.16"
"34.0","1768309958763_1_21","BLACK","56.05","-E23","false","56.44","121.16"
"34.0","1768309958763_1_31","BLACK","22.55","-E23","false","56.44","121.16"
"34.0","1768309958763_2_2","RED","66.69","-E23","false","56.44","121.16"
"34.0","1768309958763_3_13","BLACK","65.50","-E23","false","56.44","121.16"
"34.0","1768309958763_3_23","RED","34.83","-E23","false","56.44","121.16"
"34.0","1768309958763_3_3","WHITE","73.93","-E23","false","56.44","121.16"
"34.0","1768309958763_4_4","WHITE","59.62","-E23","false","56.44","121.16"
"34.0","1768309958763_5_5","BLUE","68.30","-E23","false","56.44","121.16"
"34.0","1768309958763_6_6","BLACK","52.02","-E23","false","56.44","121.16"
"34.0","1768309958763_7_7","BLUE","51.16","-E23","false","56.44","121.16"
"34.0","1768309958763_8_8","GREEN","43.02","-E23","false","56.44","121.16"
"34.0","1768309958763_9_19","BLUE","70.30","-E23","false","56.44","121.16"
"34.0","1768309958763_9_29","BLUE","64.87","-E23","false","56.44","121.16"
"34.0","1768309958763_9_39","RED","64.61","-E23","false","56.44","121.16"
"34.0","1768309958763_9_49","RED","41.73","-E23","false","56.44","121.16"
"34.0","1768309958763_9_59","WHITE","23.11","-E23","false","56.44","121.16"
"34.0","1768309958763_9_9","WHITE","72.32","-E23","false","56.44","121.16"
"35.0","1768309958763_0_0","RED","42.97","-E23","false","51.51","133.28"
"35.0","1768309958763_0_10","WHITE","28.41","-E23","false","51.51","133.28"
"35.0","1768309958763_1_1","BLACK","47.33","-E23","false","51.51","133.28"
"35.0","1768309958763_1_11","BLUE","72.91","-E23","false","51.51","133.28"
"35.0","1768309958763_1_21","BLACK","58.56","-E23","false","51.51","133.28"
"35.0","1768309958763_1_31","BLACK","21.69","-E23","false","51.51","133.28"
"35.0","1768309958763_2_2","RED","64.12","-E23","false","51.51","133.28"
"35.0","1768309958763_3_13","BLACK","73.62","-E23","false","51.51","133.28"
"35.0","1768309958763_3_23","RED","42.64","-E23","false","51.51","133.28"
"35.0","1768309958763_3_3","WHITE","60.49","-E23","false","51.51","133.28"
"35.0","1768309958763_4_4","WHITE","65.88","-E23","false","51.51","133.28"
"35.0","1768309958763_5_5","BLUE","55.54","-E23","false","51.51","133.28"
"35.0","1768309958763_6_6","BLACK","59.58","-E23","false","51.51","133.28"
"35.0","1768309958763_7_7","BLUE","44.94","-E23","false","51.51","133.28"
"35.0","1768309958763_8_8","GREEN","38.74","-E23","false","51.51","133.28"
"35.0","1768309958763_9_19","BLUE","59.10","-E23","false","51.51","133.28"
"35.0","1768309958763_9_29","BLUE","68.43","-E23","false","51.51","133.28"
"35.0","1768309958763_9_39","RED","62.03","-E23","false","51.51","133.28"
"35.0","1768309958763_9_49","RED","50.96","-E23","false","51.51","133.28"
"35.0","1768309958763_9_59","WHITE","30.60","-E23","false","51.51","133.28"
"35.0","1768309958763_9_69","RED","28.65","-E23","false","51.51","133.28"
"35.0","1768309958763_9_9","WHITE","56.12","-E23","false","51.51","133.28"
"36.0","1768309958763_0_0","RED","26.77","-E23","false","46.83","139.33"
"36.0","1768309958763_0_10","WHITE","25.57","-E23","false","46.83","139.33"
"36.0","1768309958763_1_1","BLACK","33.83","-E23","false","46.83","139.33"
"36.0","1768309958763_1_11","BLUE","58.69","-E23","false","46.83","139.33"
"36.0","1768309958763_1_21","BLACK","64.82","-E23","false","46.83","139.33"
"36.0","1768309958763_1_31","BLACK","26.71","-E23","false","46.83","139.33"
"36.0","1768309958763_2_2","RED","51.13","-E23","false","46.83","139.33"
"36.0","1768309958763_3_13","BLACK","71.38","-E23","false","46.83","139.33"
"36.0","1768309958763_3_23","RED","50.82","-E23","false","46.83","139.33"
"36.0","1768309958763_3_3","WHITE","44.29","-E23","false","46.83","139.33"
"36.0","1768309958763_3_33","BLUE","24.05","-E23","false","46.83","139.33"
"36.0","1768309958763_4_4","WHITE","59.10","-E23","false","46.83","139.33"
"36.0","1768309958763_5_5","BLUE","60.38","-E23","false","46.83","139.33"
"36.0","1768309958763_6_6","BLACK","51.06","-E23","false","46.83","139.33"
"36.0","1768309958763_7_7","BLUE","52.83","-E23","false","46.83","139.33"
"36.0","1768309958763_8_8","GREEN","35.74","-E23","false","46.83","139.33"
"36.0","1768309958763_9_19","BLUE","54.44","-E23","false","46.83","139.33"
"36.0","1768309958763_9_29","BLUE","58.84","-E23","false","46.83","139.33"
"36.0","1768309958763_9_39","RED","64.58","-E23","false","46.83","139.33"
"36.0","1768309958763_9_49","RED","57.31","-E23","false","46.83","139.33"
"36.0","1768309958763_9_59","WHITE","39.30","-E23","false","46.83","139.33"
"36.0","1768309958763_9_69","RED","25.48","-E23","false","46.83","139.33"
"36.0","1768309958763_9_9","WHITE","39.92","-E23","false","46.83","139.33"
"37.0","1768309958763_0_0","RED","19.56",":J16_0","false","19.56","110.62"
"37.0","1768309958763_0_10","WHITE","29.08","-E23","false","42.64","145.39"
"37.0","1768309958763_1_1","BLACK","19.07","-E23","false","42.64","145.39"
"37.0","1768309958763_1_11","BLUE","43.45","-E23","false","42.64","145.39"
"37.0","1768309958763_1_21","BLACK","68.87","-E23","false","42.64","145.39"
"37.0","1768309958763_1_31","BLACK","31.95","-E23","false","42.64","145.39"
"37.0","1768309958763_2_12","RED","28.37","-E23","false","42.64","145.39"
"37.0","1768309958763_2_2","RED","37.52","-E23","false","42.64","145.39"
"37.0","1768309958763_3_13","BLACK","55.18","-E23","false","42.64","145.39"
"37.0","1768309958763_3_23","RED","56.03","-E23","false","42.64","145.39"
"37.0","1768309958763_3_3","WHITE","31.91","-E23","false","42.64","145.39"
"37.0","1768309958763_3_33","BLUE","20.11","-E23","false","42.64","145.39"
"37.0","1768309958763_4_4","WHITE","47.24","-E23","false","42.64","145.39"
"37.0","1768309958763_5_5","BLUE","56.14","-E23","false","42.64","145.39"
"37.0","1768309958763_6_6","BLACK","58.23","-E23","false","42.64","145.39"
"37.0","1768309958763_7_7","BLUE","48.62","-E23","false","42.64","145.39"
"37.0","1768309958763_8_8","GREEN","44.41","-E23","false","42.64","145.39"
"37.0","1768309958763_9_19","BLUE","41.54","-E23","false","42.64","145.39"
"37.0","1768309958763_9_29","BLUE","53.15","-E23","false","42.64","145.39"
"37.0","1768309958763_9_39","RED","54.94","-E23","false","42.64","145.39"
"37.0","1768309958763_9_49","RED","64.05","-E23","false","42.64","145.39"
"37.0","1768309958763_9_59","WHITE","48.17","-E23","false","42.64","145.39"
"37.0","1768309958763_9_69","RED","31.23","-E23","false","42.64","145.39"
"37.0","1768309958763_9_79","BLUE","30.47","-E23","false","42.64","145.39"
"37.0","1768309958763_9_9","WHITE","23.72","-E23","false","42.64","145.39"
"38.0","1768309958763_0_0","RED","21.31",":J16_0","false","21.31","110.62"
"38.0","1768309958763_0_10","WHITE","36.74","-E23","false","37.80","151.45"
"38.0","1768309958763_1_1","BLACK","25.40",":J16_1","false","28.99","169.78"
"38.0","1768309958763_1_11","BLUE","29.16","-E23","false","37.80","151.45"
"38.0","1768309958763_1_21","BLACK","53.25","-E23","false","37.80","151.45"
"38.0","1768309958763_1_31","BLACK","38.58","-E23","false","37.80","151.45"
"38.0","1768309958763_1_41","BLACK","21.74","-E23","false","37.80","151.45"
"38.0","1768309958763_2_12","RED","28.19","-E23","false","37.80","151.45"
"38.0","1768309958763_2_2","RED","23.99","-E23","false","37.80","151.45"
"38.0","1768309958763_3_13","BLACK","40.51","-E23","false","37.80","151.45"
"38.0","1768309958763_3_23","RED","65.35","-E23","false","37.80","151.45"
"38.0","1768309958763_3_3","WHITE","18.73","-E23","false","37.80","151.45"
"38.0","1768309958763_3_33","BLUE","25.18","-E23","false","37.80","151.45"
"38.0","1768309958763_4_14","BLUE","13.18","-E23","false","37.80","151.45"
"38.0","1768309958763_4_4","WHITE","38.81","-E23","false","37.80","151.45"
"38.0","1768309958763_5_5","BLUE","46.63","-E23","false","37.80","151.45"
"38.0","1768309958763_6_6","BLACK","53.83","-E23","false","37.80","151.45"
"38.0","1768309958763_7_7","BLUE","53.55","-E23","false","37.80","151.45"
"38.0","1768309958763_8_8","GREEN","47.76","-E23","false","37.80","151.45"
"38.0","1768309958763_9_19","BLUE","26.47","-E23","false","37.80","151.45"
"38.0","1768309958763_9_29","BLUE","40.25","-E23","false","37.80","151.45"
"38.0","1768309958763_9_39","RED","52.88","-E23","false","37.80","151.45"
"38.0","1768309958763_9_49","RED","58.71","-E23","false","37.80","151.45"
"38.0","1768309958763_9_59","WHITE","52.99","-E23","false","37.80","151.45"
"38.0","1768309958763_9_69","RED","36.87","-E23","false","37.80","151.45"
"38.0","1768309958763_9_79","BLUE","28.31","-E23","false","37.80","151.45"
"38.0","1768309958763_9_89","WHITE","13.42","-E23","false","37.80","151.45"
"38.0","1768309958763_9_9","WHITE","32.57",":J16_1","false","28.99","169.78"
"39.0","1768309958763_0_0","RED","21.97","-E13","false","21.97","16.97"
"39.0","1768309958763_0_10","WHITE","45.79","-E23","false","35.73","151.45"
"39.0","1768309958763_1_1","BLACK","31.75","-E28","false","36.46","15.20"
"39.0","1768309958763_1_11","BLUE","17.16","-E23","false","35.73","151.45"
"39.0","1768309958763_1_21","BLACK","38.95","-E23","false","35.73","151.45"
"39.0","1768309958763_1_31","BLACK","46.68","-E23","false","35.73","151.45"
"39.0","1768309958763_1_41","BLACK","19.48","-E23","false","35.73","151.45"
"39.0","1768309958763_2_12","RED","34.08","-E23","false","35.73","151.45"
"39.0","1768309958763_2_2","RED","20.55","-E23","false","35.73","151.45"
"39.0","1768309958763_3_13","BLACK","29.98","-E23","false","35.73","151.45"
"39.0","1768309958763_3_23","RED","56.89","-E23","false","35.73","151.45"
"39.0","1768309958763_3_3","WHITE","25.37","-E23","false","35.73","151.45"
"39.0","1768309958763_3_33","BLUE","32.11","-E23","false","35.73","151.45"
"39.0","1768309958763_4_14","BLUE","11.01","-E23","false","35.73","151.45"
"39.0","1768309958763_4_4","WHITE","24.53","-E23","false","35.73","151.45"
"39.0","1768309958763_5_5","BLUE","38.18","-E23","false","35.73","151.45"
"39.0","1768309958763_6_6","BLACK","46.27","-E23","false","35.73","151.45"
"39.0","1768309958763_7_7","BLUE","54.36","-E23","false","35.73","151.45"
"39.0","1768309958763_8_8","GREEN","53.75","-E23","false","35.73","151.45"
"39.0","1768309958763_9_19","BLUE","27.85","-E23","false","35.73","151.45"
"39.0","1768309958763_9_29","BLUE","26.42","-E23","false","35.73","151.45"
"39.0","1768309958763_9_39","RED","39.29","-E23","false","35.73","151.45"
"39.0","1768309958763_9_49","RED","53.21","-E23","false","35.73","151.45"
"39.0","1768309958763_9_59","WHITE","61.71","-E23","false","35.73","151.45"
"39.0","1768309958763_9_69","RED","44.85","-E23","false","35.73","151.45"
"39.0","1768309958763_9_79","BLUE","35.41","-E23","false","35.73","151.45"
"39.0","1768309958763_9_89","WHITE","9.46","-E23","false","35.73","151.45"
"39.0","1768309958763_9_9","WHITE","41.17","-E28","false","36.46","15.20"
"40.0","1768309958763_0_0","RED","30.89","-E13","false","30.89","16.97"
"40.0","1768309958763_0_10","WHITE","51.94","-E23","false","33.62","151.45"
"40.0","1768309958763_1_1","BLACK","38.19","-E28","false","44.28","15.20"
"40.0","1768309958763_1_11","BLUE","21.96","-E23","false","33.62","151.45"
"40.0","1768309958763_1_21","BLACK","32.45","-E23","false","33.62","151.45"
"40.0","1768309958763_1_31","BLACK","55.10","-E23","false","33.62","151.45"
"40.0","1768309958763_1_41","BLACK","27.10","-E23","false","33.62","151.45"
"40.0","1768309958763_2_12","RED","39.08","-E23","false","33.62","151.45"
"40.0","1768309958763_2_2","RED","21.14",":J16_0","false","21.14","110.62"
"40.0","1768309958763_3_13","BLACK","16.49","-E23","false","33.62","151.45"
"40.0","1768309958763_3_23","RED","41.44","-E23","false","33.62","151.45"
"40.0","1768309958763_3_3","WHITE","30.31",":J16_1","false","52.67","84.89"
"40.0","1768309958763_3_33","BLUE","37.86","-E23","false","33.62","151.45"
"40.0","1768309958763_3_43","BLACK","23.33","-E23","false","33.62","151.45"
"40.0","1768309958763_4_14","BLUE","19.67","-E23","false","33.62","151.45"
"40.0","1768309958763_4_4","WHITE","22.34","-E23","false","33.62","151.45"
"40.0","1768309958763_5_15","RED","7.15","-E23","false","33.62","151.45"
"40.0","1768309958763_5_5","BLUE","25.06","-E23","false","33.62","151.45"
"40.0","1768309958763_6_6","BLACK","40.04","-E23","false","33.62","151.45"
"40.0","1768309958763_7_7","BLUE","45.55","-E23","false","33.62","151.45"
"40.0","1768309958763_8_8","GREEN","53.16","-E23","false","33.62","151.45"
"40.0","1768309958763_9_19","BLUE","14.92","-E23","false","33.62","151.45"
"40.0","1768309958763_9_29","BLUE","29.15","-E23","false","33.62","151.45"
"40.0","1768309958763_9_39","RED","26.74","-E23","false","33.62","151.45"
"40.0","1768309958763_9_49","RED","42.37","-E23","false","33.62","151.45"
"40.0","1768309958763_9_59","WHITE","56.89","-E23","false","33.62","151.45"
"40.0","1768309958763_9_69","RED","52.14","-E23","false","33.62","151.45"
"40.0","1768309958763_9_79","BLUE","44.17","-E23","false","33.62","151.45"
"40.0","1768309958763_9_89","WHITE","14.48","-E23","false","33.62","151.45"
"40.0","1768309958763_9_9","WHITE","50.37","-E28","false","44.28","15.20"
"41.0","1768309958763_0_0","RED","39.64","-E13","false","39.64","16.97"
"41.0","1768309958763_0_10","WHITE","53.39","-E23","false","32.73","151.45"
"41.0","1768309958763_1_1","BLACK","45.78","-E28","false","44.76","22.80"
"41.0","1768309958763_1_11","BLUE","29.14","-E23","false","32.73","151.45"
"41.0","1768309958763_1_21","BLACK","16.25","-E23","false","32.73","151.45"
"41.0","1768309958763_1_31","BLACK","55.52","-E23","false","32.73","151.45"
"41.0","1768309958763_1_41","BLACK","35.53","-E23","false","32.73","151.45"
"41.0","1768309958763_2_12","RED","44.27","-E23","false","32.73","151.45"
"41.0","1768309958763_2_2","RED","19.95",":J16_0","false","19.95","110.62"
"41.0","1768309958763_3_13","BLACK","21.98","-E23","false","32.73","151.45"
"41.0","1768309958763_3_23","RED","33.28","-E23","false","32.73","151.45"
"41.0","1768309958763_3_3","WHITE","37.35","-E28","false","44.76","22.80"
"41.0","1768309958763_3_33","BLUE","47.12","-E23","false","32.73","151.45"
"41.0","1768309958763_3_43","BLACK","23.02","-E23","false","32.73","151.45"
"41.0","1768309958763_4_14","BLUE","28.22","-E23","false","32.73","151.45"
"41.0","1768309958763_4_4","WHITE","18.65","-E23","false","32.73","151.45"
"41.0","1768309958763_5_15","RED","6.71","-E23","false","32.73","151.45"
"41.0","1768309958763_5_5","BLUE","24.92","-E23","false","32.73","151.45"
"41.0","1768309958763_6_6","BLACK","24.79","-E23","false","32.73","151.45"
"41.0","1768309958763_7_7","BLUE","40.23","-E23","false","32.73","151.45"
"41.0","1768309958763_8_8","GREEN","43.47","-E23","false","32.73","151.45"
"41.0","1768309958763_9_19","BLUE","20.39",":J16_1","false","47.70","84.89"
"41.0","1768309958763_9_29","BLUE","15.68","-E23","false","32.73","151.45"
"41.0","1768309958763_9_39","RED","26.45","-E23","false","32.73","151.45"
"41.0","1768309958763_9_49","RED","32.05","-E23","false","32.73","151.45"
"41.0","1768309958763_9_59","WHITE","48.84","-E23","false","32.73","151.45"
"41.0","1768309958763_9_69","RED","57.17","-E23","false","32.73","151.45"
"41.0","1768309958763_9_79","BLUE","50.63","-E23","false","32.73","151.45"
"41.0","1768309958763_9_89","WHITE","21.25","-E23","false","32.73","151.45"
"41.0","1768309958763_9_9","WHITE","51.16","-E28","false","44.76","22.80"
"41.0","1768309958763_9_99","BLACK","19.72","-E23","false","32.73","151.45"
"42.0","1768309958763_0_0","RED","44.76","-E13","false","32.65","33.93"
"42.0","1768309958763_0_10","WHITE","41.31","-E23","false","31.61","157.51"
"42.0","1768309958763_1_1","BLACK","50.91","-E28","false","42.75","30.40"
"42.0","1768309958763_1_11","BLUE","17.60","-E23","false","31.61","157.51"
"42.0","1768309958763_1_21","BLACK","23.27","-E23","false","31.61","157.51"
"42.0","1768309958763_1_31","BLACK","44.72","-E23","false","31.61","157.51"
"42.0","1768309958763_1_41","BLACK","43.11","-E23","false","31.61","157.51"
"42.0","1768309958763_1_51","WHITE","29.68","-E23","false","31.61","157.51"
"42.0","1768309958763_2_12","RED","53.18","-E23","false","31.61","157.51"
"42.0","1768309958763_2_2","RED","20.55","-E13","false","32.65","33.93"
